ID,Account,Product,Period,Price
308,BauerPure,Almond Milk,1/14/2014,10.74
309,Buddyella,Snow Plow,1/1/2014,4.86
310,Funkimagia,Barley,1/19/2014,3.52
311,Daranter,Left-handed Scissors,4/19/2014,7.78
312,Inktonu,Left-handed Scissors,4/29/2014,12.79
313,Chestium,Pacifier,4/23/2014,7.1
314,Ladynallik,Flower Bouquet,3/17/2014,12.5
315,BoboSweetBroadway,Flower Bouquet,3/30/2014,7.76
316,Portmare,Bowling Ball,3/1/2014,5.29
317,Gambitches,Devil Donut,1/8/2014,7.36
318,Isergoba,Hot Dog,2/20/2014,12.26
319,Feistybera,Buzz Cola,1/20/2014,11.91
320,Emachere,Snow Plow,3/30/2014,4.98
321,Alphenymp,Snow Plow,2/13/2014,12.58
322,Nordimi,Saxophone Reed,4/16/2014,10.54
323,Deepnesca,Almond Milk,1/14/2014,8.78
324,Forsyncer,Left-handed Scissors,1/29/2014,3.03
325,HelloGrand,Squishee,4/19/2014,11.56
326,RatWitchHott,Slingshot,1/27/2014,12.28
327,ChonePitcher,Krusty-Os,1/2/2014,6.8
328,Mudsalib,Slingshot,4/19/2014,3.85
329,ShowHead,Left-handed Scissors,3/4/2014,5.68
330,Mundelise,Squishee,1/1/2014,4.35
331,Mintaliers,Bowling Ball,2/20/2014,5.83
332,ChiriShabby,Barley,4/23/2014,12.47
333,Palecto,Slingshot,2/23/2014,5.3
334,Inaching,Flower Bouquet,3/5/2014,4.45
335,Bitfobaas,Hot Dog,4/6/2014,3.94
336,Buddyella,Bowling Ball,4/24/2014,7.14
337,PartyGotInspiring,Hot Dog,3/2/2014,8.56
338,Mazdobatu,Snow Plow,4/20/2014,4.45
339,Heaticel,Krusty-Os,4/12/2014,12.84
340,Lyndatage,Flower Bouquet,2/17/2014,11.68
341,BugsSlayr,Krusty-Os,1/25/2014,10.93
342,GriffonReporter,Orange Punch,4/6/2014,11.05
343,Rocketonbi,Snow Plow,3/26/2014,4.93
344,Namenetsky,Orange Punch,4/16/2014,11.7
345,FixEver,Orange Punch,1/14/2014,3.43
346,GossipNight,Saxophone Reed,2/20/2014,3.94
347,Pathours,Slingshot,2/28/2014,9.21
348,Ensererry,Bowling Ball,1/13/2014,9.48
349,AlphaRpg,Flower Bouquet,4/12/2014,9.39
350,Fallstaciom,Slingshot,2/21/2014,6
351,Melchuran,Saxophone Reed,1/24/2014,7.72
352,Grinfous,Slingshot,3/24/2014,12.27
353,SnoWord,Barley,4/4/2014,6.84
354,BurntFear,Barley,4/3/2014,3.92
355,Divisional,Orange Punch,3/14/2014,8.09
356,Ificoact,Squishee,1/2/2014,9.89
357,Mazdobatu,Buzz Cola,1/8/2014,10.8
358,Eapperpl,Krusty-Os,4/11/2014,12.93
359,Plasipli,Krusty-Os,3/14/2014,5.5
360,Reportsur,Buzz Cola,1/23/2014,6.29
361,Equancoat,Hot Dog,3/23/2014,5.72
362,Eapperpl,Bowling Ball,1/23/2014,5.92
363,Slayerptig,Flower Bouquet,3/1/2014,11.69
364,Blesselud,Barley,4/5/2014,9.48
365,ArsenalTalk,Bowling Ball,4/8/2014,6.08
366,Actuallywo,Snow Plow,3/29/2014,8.41
367,ArsenalKino,Orange Punch,1/17/2014,11.65
368,GinoWillows,Devil Donut,2/5/2014,5.63
369,Countryboat,Slingshot,2/9/2014,8.55
370,Nationtr,Devil Donut,2/15/2014,8.33
371,PartyBright,Orange Punch,3/24/2014,11.02
372,Prophecyst,Slingshot,2/24/2014,10.32
373,NayborRun,Snow Plow,3/9/2014,9.12
374,HelpSweet,Bowling Ball,4/14/2014,9.57
375,Seepanethor,Almond Milk,3/6/2014,5.44
376,Adsmanda,Slingshot,2/28/2014,3.7
377,BradleyNarrative,Slingshot,4/21/2014,3.58
378,Fernotele,Hot Dog,3/12/2014,9.79
379,Anospeak,Slingshot,1/19/2014,11.82
380,HelloGrand,Pacifier,1/14/2014,6.36
381,Headlines,Slingshot,4/19/2014,11.72
382,Reenaca,Almond Milk,4/6/2014,8.37
383,Positiverc,Left-handed Scissors,4/14/2014,10.97
384,ChiriShabby,Almond Milk,3/26/2014,10.4
385,FreexCasual,Saxophone Reed,2/12/2014,12.66
386,Daysseedia,Left-handed Scissors,1/20/2014,8.09
387,OneHelp,Bowling Ball,3/30/2014,3.73
388,Mcomeduset,Slingshot,2/20/2014,3.64
389,Grundyneti,Snow Plow,4/29/2014,7.8
390,Lacegere,Barley,1/8/2014,8.08
391,ListHaro,Squishee,3/21/2014,12.66
392,BoaFairy,Orange Punch,2/2/2014,5.75
393,Bloggerer,Almond Milk,4/29/2014,7.23
394,Donaldenes,Bowling Ball,1/29/2014,12.7
395,Mediantam,Squishee,1/10/2014,12.96
396,Namedianon,Slingshot,4/11/2014,8.51
397,Parkettsto,Devil Donut,1/10/2014,4.51
398,Jobbcoqu,Slingshot,4/28/2014,10.67
399,Bradelextr,Flower Bouquet,3/14/2014,6.26
400,IanInspiring,Hot Dog,1/30/2014,6.09
401,JungPeakTrimble,Devil Donut,4/6/2014,8.87
402,Chiaritail,Orange Punch,4/14/2014,10.51
403,BlogVod,Almond Milk,4/25/2014,12.56
404,Acidyles,Left-handed Scissors,4/25/2014,7.97
405,Ollynden,Squishee,3/4/2014,11.92
406,AboutWise,Left-handed Scissors,3/1/2014,3.24
407,AlphaRpg,Slingshot,2/10/2014,8.89
408,GossipNight,Buzz Cola,4/1/2014,9.45
409,Muddlembler,Flower Bouquet,3/10/2014,11.64
410,Famoustebl,Hot Dog,3/8/2014,5.49
411,LogFly,Buzz Cola,1/22/2014,6.93
412,Mowerpatste,Snow Plow,3/17/2014,6.47
413,Pyranka,Bowling Ball,4/6/2014,6.77
414,NozyGiga,Krusty-Os,4/16/2014,7.52
415,Global Media,Barley,2/19/2014,9.25
416,Dailiesol,Almond Milk,2/20/2014,6.35
417,Bradelextr,Almond Milk,4/16/2014,8.32
418,Enlisher,Slingshot,4/23/2014,3.66
419,Loverabbit,Hot Dog,4/13/2014,4.61
420,Advenopy,Barley,4/22/2014,5.82
421,Cardroug,Bowling Ball,1/21/2014,4.13
422,GrabsWillows,Hot Dog,2/20/2014,4.9
423,Burdtaxw,Devil Donut,4/21/2014,12.97
424,Flakergo,Buzz Cola,4/9/2014,8.34
425,DoubleTen,Pacifier,3/24/2014,3.2
426,2coolGarnett,Orange Punch,4/20/2014,12.42
427,Headlines,Barley,4/28/2014,7.25
428,Precappl,Left-handed Scissors,1/19/2014,9.43
429,Nordimi,Hot Dog,4/15/2014,6.15
430,MagazineMercy,Krusty-Os,4/25/2014,5.81
431,DudeCakeGrabs,Snow Plow,2/1/2014,11.03
432,HulkDiagonal,Krusty-Os,1/28/2014,5.86
433,PartyRoachMessage,Barley,3/17/2014,12.21
434,Alessata,Slingshot,1/30/2014,3.69
435,Genusting,Pacifier,2/9/2014,10.13
436,Gambitches,Devil Donut,3/8/2014,9.73
437,BiggExotic,Flower Bouquet,2/6/2014,10.33
438,KaptainHerald,Devil Donut,2/6/2014,5.6
439,GuyPhia,Snow Plow,2/21/2014,6.24
440,GriffonReporter,Buzz Cola,3/16/2014,11.56
441,MurphyFan,Almond Milk,3/4/2014,11.7
442,Burdtaxw,Pacifier,1/24/2014,12.63
443,PurpleShoes,Bowling Ball,3/2/2014,8.05
444,Faxionan,Slingshot,2/23/2014,6.99
445,CutieSpecials,Bowling Ball,3/9/2014,11.63
446,Flakergo,Bowling Ball,1/6/2014,3.02
447,NotePuff,Hot Dog,2/5/2014,4.33
448,EyesWaveWaka,Slingshot,4/13/2014,9.38
449,Bizarrestan,Saxophone Reed,4/6/2014,6.81
450,Hubersi,Squishee,3/23/2014,10.85
451,Eurinewh,Flower Bouquet,1/16/2014,8.68
452,BoaFairy,Saxophone Reed,1/18/2014,8.33
453,Portmare,Squishee,2/20/2014,9.02
454,Enerpeop,Devil Donut,1/19/2014,8.66
455,Quotelyco,Almond Milk,2/4/2014,10.61
456,HenryGhoul,Almond Milk,4/18/2014,4.37
457,Ineschic,Slingshot,4/19/2014,9.3
458,MatterSimply,Squishee,3/24/2014,12.46
459,Collerer,Orange Punch,2/9/2014,10.45
460,Ladynallik,Almond Milk,3/17/2014,12.05
461,DudeCakeGrabs,Snow Plow,2/27/2014,10.14
462,GoldCrayon,Krusty-Os,4/12/2014,8.47
463,Candwire,Devil Donut,2/1/2014,10.11
464,Lutechax,Hot Dog,1/9/2014,7.23
465,Pistarynx,Left-handed Scissors,2/2/2014,4.62
466,Bizarrevces,Bowling Ball,1/15/2014,10.26
467,Cochinger,Krusty-Os,1/23/2014,9.37
468,Boxwoodet,Pacifier,1/30/2014,8.77
469,Pathbaud,Flower Bouquet,1/18/2014,3.09
470,GossipNight,Buzz Cola,1/8/2014,4.09
471,Cellisti,Left-handed Scissors,4/27/2014,9.44
472,PartyGotInspiring,Orange Punch,4/1/2014,4.82
473,Daysseedia,Almond Milk,3/1/2014,12.73
474,Intellba,Devil Donut,4/26/2014,8.14
475,Hopercomni,Flower Bouquet,3/25/2014,4.83
476,Mediaux,Krusty-Os,4/10/2014,4.39
477,KaptainHerald,Snow Plow,1/5/2014,9.18
478,RightBeZeether,Almond Milk,3/31/2014,4.33
479,Inaching,Barley,4/8/2014,6.54
480,KaptainHerald,Saxophone Reed,4/13/2014,6.63
481,ManiakSaber,Squishee,3/28/2014,9.4
482,Perfeho,Krusty-Os,4/29/2014,10.36
483,Posamne,Pacifier,3/7/2014,5.07
484,Colictor,Devil Donut,2/6/2014,8.18
485,Famoustebl,Flower Bouquet,4/8/2014,3.64
486,Quotelyco,Barley,2/22/2014,6.54
487,CatHorray,Barley,1/28/2014,11.29
488,Nordimi,Saxophone Reed,4/14/2014,9.07
489,Chilledet,Buzz Cola,2/23/2014,4.56
490,Remedios,Bowling Ball,1/28/2014,5.22
491,HulkBlonde,Pacifier,3/11/2014,12.42
492,MonBoost,Squishee,3/4/2014,12.11
493,AboveRosa,Slingshot,1/13/2014,10.25
494,DoggIntincr,Krusty-Os,2/14/2014,7.41
495,Global Media,Barley,2/3/2014,11.7
496,NayborRun,Buzz Cola,3/5/2014,7.56
497,Namedianon,Almond Milk,2/17/2014,9.09
498,MagazineMercy,Squishee,1/6/2014,12.22
499,Cochinger,Orange Punch,3/12/2014,11.81
500,Dickader,Devil Donut,2/5/2014,12.29
501,Feathmind,Saxophone Reed,2/11/2014,12.51
502,AboveRosa,Squishee,3/23/2014,12.81
503,Maxieldse,Almond Milk,4/27/2014,8.92
504,Eitelpali,Snow Plow,1/6/2014,6.31
505,RonzUber,Left-handed Scissors,3/28/2014,6.4
506,Bozicalyste,Saxophone Reed,3/5/2014,12.23
507,Mundelise,Hot Dog,3/5/2014,9.57
508,HeheBraceFizz,Pacifier,1/13/2014,7.86
509,RatWitchHott,Slingshot,1/4/2014,9.57
510,Gamedirsil,Saxophone Reed,1/30/2014,7.55
511,Razualyser,Flower Bouquet,3/6/2014,6
512,Mediaux,Pacifier,4/30/2014,10.41
513,NewscastKenka,Squishee,3/17/2014,7.46
514,Conspiracy,Buzz Cola,3/23/2014,11.18
515,Capenikk,Bowling Ball,3/8/2014,5.59
516,HeavenNarrative,Almond Milk,1/4/2014,11.09
517,Saiyanetho,Left-handed Scissors,1/11/2014,5
518,ShadesMoto,Buzz Cola,2/10/2014,3.29
519,LatestPeach,Saxophone Reed,1/10/2014,6.34
520,CleverSimple,Devil Donut,1/13/2014,3.94
