Account,Product,Period,Price
Bauhand,Barley,4/16/2014,5.92
Legendehic,Hot Dog,4/3/2014,9.76
Dailiesol,Orange Punch,1/20/2014,10.20
Holyncepha,Bowling Ball,2/19/2014,6.25
Feathmind,Orange Punch,4/14/2014,9.65
BlogVod,Bowling Ball,1/19/2014,7.45
Acme,Almond Milk,4/23/2014,9.82
EyesWaveWaka,Buzz Cola,1/12/2014,12.37
PopularTwinkle,Flower Bouquet,4/4/2014,3.64
InvaderRoll,Hot Dog,2/20/2014,12.93
Intellba,Flower Bouquet,3/28/2014,12.10
Perustima,Left-handed Scissors,2/10/2014,6.51
Eapperpl,Almond Milk,4/18/2014,9.78
Diaryptor,Almond Milk,3/14/2014,9.33
Noticeteat,Devil Donut,3/7/2014,7.70
GoldCrayon,Saxophone Reed,1/29/2014,11.48
Cordlets,Devil Donut,3/27/2014,11.75
Grinfous,Squishee,2/19/2014,10.65
Clericmat,Bowling Ball,3/14/2014,12.16
Cimballe,Squishee,3/30/2014,5.08
Hopebbield,Orange Punch,2/24/2014,8.76
Reenaca,Almond Milk,4/11/2014,8.50
Nioneenf,Devil Donut,2/10/2014,9.48
AlphaRpg,Bowling Ball,2/25/2014,11.51
Rockeefl,Devil Donut,4/24/2014,10.01
Global Media,Almond Milk,2/14/2014,9.56
Hanglober,Krusty-Os,4/16/2014,10.50
Prestigeye,Devil Donut,2/11/2014,11.53
HulkBlonde,Devil Donut,1/1/2014,10.15
CatMonkey,Left-handed Scissors,4/22/2014,10.33
Pistarynx,Orange Punch,1/2/2014,7.06
LogFly,Snow Plow,3/10/2014,9.84
DoubleTen,Orange Punch,2/13/2014,12.84
Lutechax,Devil Donut,3/22/2014,3.33
Mediantam,Bowling Ball,3/19/2014,3.38
Pedabrsel,Flower Bouquet,3/20/2014,5.66
LiveStargal,Hot Dog,4/17/2014,8.00
Perfeho,Hot Dog,2/6/2014,4.51
Dickader,Buzz Cola,1/6/2014,5.34
Advenopy,Hot Dog,4/13/2014,7.94
AboveRosa,Pacifier,4/22/2014,3.29
Notusetti,Devil Donut,4/28/2014,7.89
Blikitbec,Devil Donut,2/17/2014,12.61
Perfectione,Squishee,4/17/2014,5.80
PattyFreezing,Snow Plow,3/29/2014,6.40
NotBase,Pacifier,4/8/2014,12.63
JournalKnot,Almond Milk,3/5/2014,7.70
Garnetter,Flower Bouquet,2/19/2014,8.15
Buddyella,Saxophone Reed,3/20/2014,3.95
Portmare,Hot Dog,2/10/2014,4.72
Capenikk,Almond Milk,2/16/2014,11.08
IteTabloid,Squishee,4/29/2014,5.66
Mowerpatste,Squishee,4/16/2014,8.62
Palecto,Pacifier,3/9/2014,8.64
Nationtr,Almond Milk,2/13/2014,7.61
Seepanethor,Slingshot,2/2/2014,7.14
FantasyXoxox,Slingshot,1/30/2014,9.81
Nioneenf,Almond Milk,2/18/2014,4.46
Cochinger,Orange Punch,1/10/2014,8.10
Japanos,Orange Punch,1/22/2014,11.53
Bingovence,Slingshot,2/10/2014,8.72
Divisional,Snow Plow,2/3/2014,3.24
Screenary,Snow Plow,4/22/2014,7.67
Funkimagia,Bowling Ball,4/30/2014,6.14
Shoesasiane,Buzz Cola,2/18/2014,7.73
NotBase,Snow Plow,4/12/2014,10.47
Dailiesol,Krusty-Os,2/12/2014,4.17
Mmershpo,Flower Bouquet,4/19/2014,10.05
Daranter,Pacifier,1/28/2014,12.33
ForlifeLittle,Slingshot,1/4/2014,5.63
Besteres,Flower Bouquet,2/7/2014,3.04
KaptainHerald,Pacifier,4/22/2014,11.49
BoboSweetBroadway,Flower Bouquet,4/4/2014,5.67
Euphartn,Slingshot,4/9/2014,4.11
ListHaro,Orange Punch,3/2/2014,4.29
PartyBright,Bowling Ball,3/23/2014,10.20
Nanosill,Buzz Cola,3/18/2014,11.86
Hopebbield,Barley,1/3/2014,7.48
Chicatrisv,Snow Plow,3/2/2014,11.03
AnnouncerNephew,Devil Donut,4/12/2014,7.07
Cellisti,Squishee,3/15/2014,12.34
Logiclynn,Slingshot,2/16/2014,7.18
Holyncepha,Slingshot,1/24/2014,6.45
Dustpla,Squishee,1/6/2014,6.19
Careampa,Flower Bouquet,1/13/2014,3.52
Awareceleve,Devil Donut,4/30/2014,8.90
Reenaca,Left-handed Scissors,4/22/2014,4.50
Awareceleve,Bowling Ball,4/28/2014,3.64
Genusting,Saxophone Reed,3/9/2014,6.97
ArsenalKino,Bowling Ball,4/1/2014,11.24
Bridgec,Left-handed Scissors,2/9/2014,10.74
AnnouncerNephew,Squishee,2/3/2014,11.87
Gladples,Buzz Cola,3/21/2014,12.87
Gerystat,Barley,2/21/2014,11.93
Promsdeo,Hot Dog,4/11/2014,12.87
DoggIntincr,Flower Bouquet,4/22/2014,4.86
Mazdobatu,Squishee,4/27/2014,8.59
Ionidexcros,Barley,3/29/2014,4.64
Chilledet,Flower Bouquet,4/10/2014,10.34
AboutWise,Hot Dog,1/13/2014,10.23
Intellba,Devil Donut,4/20/2014,10.35
Networker,Saxophone Reed,2/18/2014,7.62
Shaticubed,Hot Dog,2/27/2014,4.23
Sigands,Pacifier,4/22/2014,8.32
Intincrol,Krusty-Os,3/22/2014,9.87
BauerPure,Almond Milk,1/14/2014,10.74
Buddyella,Snow Plow,1/1/2014,4.86
Funkimagia,Barley,1/19/2014,3.52
Daranter,Left-handed Scissors,4/19/2014,7.78
Inktonu,Left-handed Scissors,4/29/2014,12.79
Chestium,Pacifier,4/23/2014,7.10
Ladynallik,Flower Bouquet,3/17/2014,12.50
BoboSweetBroadway,Flower Bouquet,3/30/2014,7.76
Portmare,Bowling Ball,3/1/2014,5.29
Gambitches,Devil Donut,1/8/2014,7.36
Isergoba,Hot Dog,2/20/2014,12.26
Feistybera,Buzz Cola,1/20/2014,11.91
Emachere,Snow Plow,3/30/2014,4.98
Alphenymp,Snow Plow,2/13/2014,12.58
Nordimi,Saxophone Reed,4/16/2014,10.54
Deepnesca,Almond Milk,1/14/2014,8.78
Forsyncer,Left-handed Scissors,1/29/2014,3.03
HelloGrand,Squishee,4/19/2014,11.56
RatWitchHott,Slingshot,1/27/2014,12.28
ChonePitcher,Krusty-Os,1/2/2014,6.80
Mudsalib,Slingshot,4/19/2014,3.85
ShowHead,Left-handed Scissors,3/4/2014,5.68
Mundelise,Squishee,1/1/2014,4.35
Mintaliers,Bowling Ball,2/20/2014,5.83
ChiriShabby,Barley,4/23/2014,12.47
Palecto,Slingshot,2/23/2014,5.30
Inaching,Flower Bouquet,3/5/2014,4.45
Bitfobaas,Hot Dog,4/6/2014,3.94
Buddyella,Bowling Ball,4/24/2014,7.14
PartyGotInspiring,Hot Dog,3/2/2014,8.56
Mazdobatu,Snow Plow,4/20/2014,4.45
Heaticel,Krusty-Os,4/12/2014,12.84
Lyndatage,Flower Bouquet,2/17/2014,11.68
BugsSlayr,Krusty-Os,1/25/2014,10.93
GriffonReporter,Orange Punch,4/6/2014,11.05
Rocketonbi,Snow Plow,3/26/2014,4.93
Namenetsky,Orange Punch,4/16/2014,11.70
FixEver,Orange Punch,1/14/2014,3.43
GossipNight,Saxophone Reed,2/20/2014,3.94
Pathours,Slingshot,2/28/2014,9.21
Ensererry,Bowling Ball,1/13/2014,9.48
AlphaRpg,Flower Bouquet,4/12/2014,9.39
Fallstaciom,Slingshot,2/21/2014,6.00
Melchuran,Saxophone Reed,1/24/2014,7.72
Grinfous,Slingshot,3/24/2014,12.27
SnoWord,Barley,4/4/2014,6.84
BurntFear,Barley,4/3/2014,3.92
Divisional,Orange Punch,3/14/2014,8.09
Ificoact,Squishee,1/2/2014,9.89
Mazdobatu,Buzz Cola,1/8/2014,10.80
Eapperpl,Krusty-Os,4/11/2014,12.93
Plasipli,Krusty-Os,3/14/2014,5.50
Reportsur,Buzz Cola,1/23/2014,6.29
Equancoat,Hot Dog,3/23/2014,5.72
Eapperpl,Bowling Ball,1/23/2014,5.92
Slayerptig,Flower Bouquet,3/1/2014,11.69
Blesselud,Barley,4/5/2014,9.48
ArsenalTalk,Bowling Ball,4/8/2014,6.08
Actuallywo,Snow Plow,3/29/2014,8.41
ArsenalKino,Orange Punch,1/17/2014,11.65
GinoWillows,Devil Donut,2/5/2014,5.63
Countryboat,Slingshot,2/9/2014,8.55
Nationtr,Devil Donut,2/15/2014,8.33
PartyBright,Orange Punch,3/24/2014,11.02
Prophecyst,Slingshot,2/24/2014,10.32
NayborRun,Snow Plow,3/9/2014,9.12
HelpSweet,Bowling Ball,4/14/2014,9.57
Seepanethor,Almond Milk,3/6/2014,5.44
Adsmanda,Slingshot,2/28/2014,3.70
BradleyNarrative,Slingshot,4/21/2014,3.58
Fernotele,Hot Dog,3/12/2014,9.79
Anospeak,Slingshot,1/19/2014,11.82
HelloGrand,Pacifier,1/14/2014,6.36
Headlines,Slingshot,4/19/2014,11.72
Reenaca,Almond Milk,4/6/2014,8.37
Positiverc,Left-handed Scissors,4/14/2014,10.97
ChiriShabby,Almond Milk,3/26/2014,10.40
FreexCasual,Saxophone Reed,2/12/2014,12.66
Daysseedia,Left-handed Scissors,1/20/2014,8.09
OneHelp,Bowling Ball,3/30/2014,3.73
Mcomeduset,Slingshot,2/20/2014,3.64
Grundyneti,Snow Plow,4/29/2014,7.80
Lacegere,Barley,1/8/2014,8.08
ListHaro,Squishee,3/21/2014,12.66
BoaFairy,Orange Punch,2/2/2014,5.75
Bloggerer,Almond Milk,4/29/2014,7.23
Donaldenes,Bowling Ball,1/29/2014,12.70
Mediantam,Squishee,1/10/2014,12.96
Namedianon,Slingshot,4/11/2014,8.51
Parkettsto,Devil Donut,1/10/2014,4.51
Jobbcoqu,Slingshot,4/28/2014,10.67
Bradelextr,Flower Bouquet,3/14/2014,6.26
IanInspiring,Hot Dog,1/30/2014,6.09
JungPeakTrimble,Devil Donut,4/6/2014,8.87
Chiaritail,Orange Punch,4/14/2014,10.51
BlogVod,Almond Milk,4/25/2014,12.56
Acidyles,Left-handed Scissors,4/25/2014,7.97
Ollynden,Squishee,3/4/2014,11.92
AboutWise,Left-handed Scissors,3/1/2014,3.24
AlphaRpg,Slingshot,2/10/2014,8.89
GossipNight,Buzz Cola,4/1/2014,9.45
Muddlembler,Flower Bouquet,3/10/2014,11.64
Famoustebl,Hot Dog,3/8/2014,5.49
LogFly,Buzz Cola,1/22/2014,6.93
Mowerpatste,Snow Plow,3/17/2014,6.47
Pyranka,Bowling Ball,4/6/2014,6.77
NozyGiga,Krusty-Os,4/16/2014,7.52
Global Media,Barley,2/19/2014,9.25
Dailiesol,Almond Milk,2/20/2014,6.35
Bradelextr,Almond Milk,4/16/2014,8.32
Enlisher,Slingshot,4/23/2014,3.66
Loverabbit,Hot Dog,4/13/2014,4.61
Advenopy,Barley,4/22/2014,5.82
Cardroug,Bowling Ball,1/21/2014,4.13
GrabsWillows,Hot Dog,2/20/2014,4.90
Burdtaxw,Devil Donut,4/21/2014,12.97
Flakergo,Buzz Cola,4/9/2014,8.34
DoubleTen,Pacifier,3/24/2014,3.20
2coolGarnett,Orange Punch,4/20/2014,12.42
Headlines,Barley,4/28/2014,7.25
Precappl,Left-handed Scissors,1/19/2014,9.43
Nordimi,Hot Dog,4/15/2014,6.15
MagazineMercy,Krusty-Os,4/25/2014,5.81
DudeCakeGrabs,Snow Plow,2/1/2014,11.03
HulkDiagonal,Krusty-Os,1/28/2014,5.86
PartyRoachMessage,Barley,3/17/2014,12.21
Alessata,Slingshot,1/30/2014,3.69
Genusting,Pacifier,2/9/2014,10.13
Gambitches,Devil Donut,3/8/2014,9.73
BiggExotic,Flower Bouquet,2/6/2014,10.33
KaptainHerald,Devil Donut,2/6/2014,5.60
GuyPhia,Snow Plow,2/21/2014,6.24
GriffonReporter,Buzz Cola,3/16/2014,11.56
MurphyFan,Almond Milk,3/4/2014,11.70
Burdtaxw,Pacifier,1/24/2014,12.63
PurpleShoes,Bowling Ball,3/2/2014,8.05
Faxionan,Slingshot,2/23/2014,6.99
CutieSpecials,Bowling Ball,3/9/2014,11.63
Flakergo,Bowling Ball,1/6/2014,3.02
NotePuff,Hot Dog,2/5/2014,4.33
EyesWaveWaka,Slingshot,4/13/2014,9.38
Bizarrestan,Saxophone Reed,4/6/2014,6.81
Hubersi,Squishee,3/23/2014,10.85
Eurinewh,Flower Bouquet,1/16/2014,8.68
BoaFairy,Saxophone Reed,1/18/2014,8.33
Portmare,Squishee,2/20/2014,9.02
Enerpeop,Devil Donut,1/19/2014,8.66
Quotelyco,Almond Milk,2/4/2014,10.61
HenryGhoul,Almond Milk,4/18/2014,4.37
Ineschic,Slingshot,4/19/2014,9.30
MatterSimply,Squishee,3/24/2014,12.46
Collerer,Orange Punch,2/9/2014,10.45
Ladynallik,Almond Milk,3/17/2014,12.05
DudeCakeGrabs,Snow Plow,2/27/2014,10.14
GoldCrayon,Krusty-Os,4/12/2014,8.47
Candwire,Devil Donut,2/1/2014,10.11
Lutechax,Hot Dog,1/9/2014,7.23
Pistarynx,Left-handed Scissors,2/2/2014,4.62
Bizarrevces,Bowling Ball,1/15/2014,10.26
Cochinger,Krusty-Os,1/23/2014,9.37
Boxwoodet,Pacifier,1/30/2014,8.77
Pathbaud,Flower Bouquet,1/18/2014,3.09
GossipNight,Buzz Cola,1/8/2014,4.09
Cellisti,Left-handed Scissors,4/27/2014,9.44
PartyGotInspiring,Orange Punch,4/1/2014,4.82
Daysseedia,Almond Milk,3/1/2014,12.73
Intellba,Devil Donut,4/26/2014,8.14
Hopercomni,Flower Bouquet,3/25/2014,4.83
Mediaux,Krusty-Os,4/10/2014,4.39
KaptainHerald,Snow Plow,1/5/2014,9.18
RightBeZeether,Almond Milk,3/31/2014,4.33
Inaching,Barley,4/8/2014,6.54
KaptainHerald,Saxophone Reed,4/13/2014,6.63
ManiakSaber,Squishee,3/28/2014,9.40
Perfeho,Krusty-Os,4/29/2014,10.36
Posamne,Pacifier,3/7/2014,5.07
Colictor,Devil Donut,2/6/2014,8.18
Famoustebl,Flower Bouquet,4/8/2014,3.64
Quotelyco,Barley,2/22/2014,6.54
CatHorray,Barley,1/28/2014,11.29
Nordimi,Saxophone Reed,4/14/2014,9.07
Chilledet,Buzz Cola,2/23/2014,4.56
Remedios,Bowling Ball,1/28/2014,5.22
HulkBlonde,Pacifier,3/11/2014,12.42
MonBoost,Squishee,3/4/2014,12.11
AboveRosa,Slingshot,1/13/2014,10.25
DoggIntincr,Krusty-Os,2/14/2014,7.41
Global Media,Barley,2/3/2014,11.70
NayborRun,Buzz Cola,3/5/2014,7.56
Namedianon,Almond Milk,2/17/2014,9.09
MagazineMercy,Squishee,1/6/2014,12.22
Cochinger,Orange Punch,3/12/2014,11.81
Dickader,Devil Donut,2/5/2014,12.29
Feathmind,Saxophone Reed,2/11/2014,12.51
AboveRosa,Squishee,3/23/2014,12.81
Maxieldse,Almond Milk,4/27/2014,8.92
Eitelpali,Snow Plow,1/6/2014,6.31
RonzUber,Left-handed Scissors,3/28/2014,6.40
Bozicalyste,Saxophone Reed,3/5/2014,12.23
Mundelise,Hot Dog,3/5/2014,9.57
HeheBraceFizz,Pacifier,1/13/2014,7.86
RatWitchHott,Slingshot,1/4/2014,9.57
Gamedirsil,Saxophone Reed,1/30/2014,7.55
Razualyser,Flower Bouquet,3/6/2014,6.00
Mediaux,Pacifier,4/30/2014,10.41
NewscastKenka,Squishee,3/17/2014,7.46
Conspiracy,Buzz Cola,3/23/2014,11.18
Capenikk,Bowling Ball,3/8/2014,5.59
HeavenNarrative,Almond Milk,1/4/2014,11.09
Saiyanetho,Left-handed Scissors,1/11/2014,5.00
ShadesMoto,Buzz Cola,2/10/2014,3.29
LatestPeach,Saxophone Reed,1/10/2014,6.34
CleverSimple,Devil Donut,1/13/2014,3.94
Hotsper,Devil Donut,1/23/2014,11.41
Caperlexe,Left-handed Scissors,4/23/2014,12.34
Countryboat,Bowling Ball,2/10/2014,9.08
HeraldEye,Krusty-Os,4/28/2014,8.94
Bizarrevces,Almond Milk,4/28/2014,11.06
BoaFairy,Almond Milk,2/26/2014,5.95
Laquield,Flower Bouquet,4/20/2014,11.58
ForlifeDream,Saxophone Reed,4/30/2014,7.68
Pistarynx,Krusty-Os,3/16/2014,7.61
Shualich,Krusty-Os,2/26/2014,5.49
Boardam,Left-handed Scissors,1/21/2014,10.99
NayborRun,Flower Bouquet,3/3/2014,6.35
Nioneenf,Barley,4/23/2014,3.49
Nanosill,Flower Bouquet,1/7/2014,12.96
FantasyXoxox,Bowling Ball,2/20/2014,3.81
ForlifeDream,Orange Punch,4/12/2014,11.40
Bizarrestan,Snow Plow,3/10/2014,6.95
Greygramid,Bowling Ball,2/15/2014,12.65
Bingovence,Buzz Cola,1/27/2014,6.09
Mundelise,Devil Donut,3/15/2014,5.68
Pinchrine,Almond Milk,2/23/2014,8.23
PrestigeGlossy,Devil Donut,3/9/2014,10.84
Slayerptig,Almond Milk,1/4/2014,10.43
Cordlets,Squishee,4/12/2014,9.13
AshKlugFluent,Devil Donut,1/17/2014,4.37
Dolockar,Buzz Cola,4/7/2014,4.61
Oneareratec,Barley,1/7/2014,5.94
Goldencero,Krusty-Os,4/28/2014,9.23
Quotelyco,Krusty-Os,4/29/2014,4.18
Rincent,Hot Dog,4/19/2014,7.34
Besteres,Hot Dog,4/3/2014,9.02
Mcomeduset,Devil Donut,3/19/2014,6.61
ManiakSaber,Almond Milk,3/14/2014,11.70
BleakKid,Pacifier,3/24/2014,10.05
Saleurip,Buzz Cola,3/9/2014,7.50
Parkettsto,Snow Plow,2/16/2014,6.89
RonzUber,Devil Donut,4/5/2014,8.37
Funkimagia,Orange Punch,4/14/2014,6.52
Infernoke,Left-handed Scissors,2/19/2014,9.41
Feistybera,Orange Punch,3/9/2014,3.64
Hansgen,Flower Bouquet,2/15/2014,6.20
